"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2015年15週"
"集計期間終了週","2015年15週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","1","0","1","0","8","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","2","2","2","1","57","1","1","0","28","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","8","7","3","9","127","5","1","4","42","0","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","17","3","7","19","91","4","4","9","11","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","13","1","6","38","100","7","1","11","5","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","7","0","6","43","95","6","3","27","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","12","0","0","44","68","19","1","18","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","11","0","1","54","67","11","0","10","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","8","0","0","33","53","3","3","9","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","10","0","0","20","40","3","1","9","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","3","0","0","13","35","2","0","9","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","28","0","2","38","90","2","1","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","11","0","0","2","20","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","13","0","0","12","81","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"40～49歳","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"70～79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","219","13","28","326","932","66","16","114","89","1","1","29","11","4","0","5","0","0","0","0","2","4","0","0","0","0","0","4","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2015年15週"
"集計期間終了週","2015年15週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","0","3","0","0","4","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"～1歳","1","4","1","1","64","2","1","1","32","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","5","7","2","10","100","3","0","2","37","0","0","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2歳","7","3","4","17","75","6","7","5","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","13","1","3","27","70","9","5","11","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","9","0","1","30","70","14","2","14","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5歳","6","0","1","31","76","8","2","26","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","8","0","1","38","49","7","0","16","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","12","0","2","33","46","5","1","20","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","8","0","0","30","39","2","0","8","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","5","0","0","28","19","2","1","9","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","15","0","1","28","67","4","0","5","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","10","0","0","5","18","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20～29歳","11","0","2","38","151","0","0","7","0","1","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30～39歳","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","198","18","18","316","848","63","19","125","78","1","0","32","7","1","0","9","0","1","2","0","3","2","0","0","0","0","0","2","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2015年15週"
"集計期間終了週","2015年15週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","1","3","1","0","12","2","0","1","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"～1歳","3","6","3","2","121","3","2","1","60","0","0","2","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","13","14","5","19","227","8","1","6","79","0","1","2","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2歳","24","6","11","36","166","10","11","14","15","0","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","26","2","9","65","170","16","6","22","6","0","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","16","0","7","73","165","20","5","41","2","0","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5歳","18","0","1","75","144","27","3","44","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","19","0","2","92","116","18","0","26","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","20","0","2","66","99","8","4","29","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","18","0","0","50","79","5","1","17","0","0","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","8","0","0","41","54","4","1","18","0","0","0","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","43","0","3","66","157","6","1","11","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","21","0","0","7","38","0","0","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20～29歳","24","0","2","50","232","2","0","9","0","1","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30～39歳","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","2","0","0","0","0","0","2","0"
"40～49歳","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"70～79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"合計","417","31","46","642","1780","129","35","239","167","2","1","61","18","5","0","14","0","1","2","0","5","6","0","0","0","0","0","6","0"
"定点数","411","263","263","263","263","263","263","263","263","263","263","263","263","263","39","39","25","25","25","25","25","25","25","25","25","25","25","25","25"


