"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2022年34週"
"集計期間終了週","2022年34週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","15","0","0","19","1","57","0","3","15","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","18","0","0","19","1","52","0","4","12","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","36","0","2","19","0","70","0","3","12","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","0","10","1","7","33","1","47","0","0","5","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","0","25","1","2","29","1","81","0","4","21","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","25","0","0","17","0","58","0","2","13","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","0","18","2","0","19","1","42","0","7","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","0","8","0","19","0","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","26","0","2","48","1","114","0","4","38","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","7","0","0","10","0","33","0","3","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","2","12","0","1","21","3","63","0","2","19","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","12","1","2","32","0","67","0","4","19","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3","204","6","16","274","9","706","0","39","180","7","7","1","0","5","0","0","0","0","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2022年34週"
"集計期間終了週","2022年34週"
"性別","女性"

