"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年29週"
"集計期間終了週","2023年29週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","1","9","28","0","0","7","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","1","22","46","1","0","28","0","8","0","4","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","33","70","10","2","72","0","16","1","10","104","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","4","34","42","7","3","44","0","8","0","1","89","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","7","14","14","8","12","56","0","11","0","7","69","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","11","15","8","16","23","41","2","9","1","1","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","22","14","5","4","16","44","1","9","0","0","57","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","17","24","3","3","27","36","3","4","1","0","36","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","22","18","3","3","20","29","3","7","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","16","21","3","1","11","23","2","5","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","20","25","0","1","6","20","3","1","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","61","184","1","2","28","47","4","1","0","0","7","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15～19歳","13","127","1","0","1","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","10","285","0","1","2","21","1","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","10","255","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","14","239","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","6","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","3","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","75","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","1","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"合計","244","1854","224","57","151","474","19","80","3","25","508","7","6","2","0","5","0","1","1","0","0","2","0","0","0","0","0","2","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年29週"
"集計期間終了週","2023年29週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

