"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年29週
"集計期間終了週",2012年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5","4","9","416"
"RSウイルス感染症","24","25","49","262"
"咽頭結膜熱","90","70","160","262"
"Ａ群溶血性レンサ球菌咽頭炎","184","185","369","262"
"感染性胃腸炎","569","462","1031","262"
"水痘","80","67","147","262"
"手足口病","178","169","347","262"
"伝染性紅斑","16","20","36","262"
"突発性発しん","100","92","192","262"
"百日咳","3","3","6","262"
"ヘルパンギーナ","1156","1019","2175","262"
"流行性耳下腺炎","44","38","82","262"
"不明発しん症","12","18","30","262"
"川崎病","1","1","2","262"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","15","12","27","39"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","1","3","4","25"
"マイコプラズマ肺炎","9","7","16","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
