"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2016年46週
"集計期間終了週",2016年46週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","352","300","652","416"
"RSウイルス感染症","78","56","134","263"
"咽頭結膜熱","48","29","77","263"
"Ａ群溶血性レンサ球菌咽頭炎","283","261","544","263"
"感染性胃腸炎","2698","2624","5322","263"
"水痘","64","65","129","263"
"手足口病","110","87","197","263"
"伝染性紅斑","9","8","17","263"
"突発性発しん","72","70","142","263"
"百日咳","2","2","4","263"
"ヘルパンギーナ","22","28","50","263"
"流行性耳下腺炎","85","96","181","263"
"不明発しん症","3","8","11","263"
"川崎病","3","2","5","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","6","13","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","16","16","32","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","4","1","5","25"
