"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2001年5月"
"集計期間終了月","2001年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","1","0"
"1～4歳","0","0","0","0","0","0","1","5","0"
"5～9歳","0","0","0","0","0","0","0","0","1"
"10～14歳","0","0","0","0","0","0","1","0","1"
"15～19歳","6","1","3","1","0","0","0","0","0"
"20～24歳","22","4","6","18","1","0","0","0","0"
"25～29歳","29","6","5","24","0","0","2","0","0"
"30～34歳","19","4","5","19","0","0","1","0","0"
"35～39歳","15","2","2","15","0","0","1","1","0"
"40～44歳","12","5","0","8","0","1","2","1","0"
"45～49歳","4","2","1","6","0","2","0","0","0"
"50～54歳","3","3","0","1","0","0","1","0","0"
"55～59歳","0","3","1","2","0","0","6","0","1"
"60～64歳","0","2","0","0","0","0","9","1","1"
"65～69歳","0","1","0","0","0","0","7","1","3"
"70歳以上","0","1","0","0","0","0","26","5","1"
"合計","110","34","23","94","1","3","58","15","8"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2001年5月"
"集計期間終了月","2001年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","2","0"
"1～4歳","0","0","0","0","0","0","1","4","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","21","1","5","1","0","0","0","0","0"
"20～24歳","35","10","9","9","10","0","0","1","0"
"25～29歳","30","13","4","3","4","1","0","0","0"
"30～34歳","14","14","3","4","1","0","0","0","0"
"35～39歳","11","5","0","1","2","0","1","0","0"
"40～44歳","5","4","0","0","2","0","1","0","0"
"45～49歳","1","0","0","0","4","0","2","0","0"
"50～54歳","1","1","0","2","0","0","1","1","0"
"55～59歳","0","0","0","0","1","0","0","1","0"
"60～64歳","0","2","0","0","0","0","2","3","0"
"65～69歳","0","1","0","0","0","0","5","0","0"
"70歳以上","0","0","0","0","1","0","16","3","0"
"合計","118","51","21","20","25","1","31","15","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2001年5月"
"集計期間終了月","2001年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","3","0"
"1～4歳","0","0","0","0","0","0","2","9","0"
"5～9歳","0","0","0","0","0","0","0","0","1"
"10～14歳","0","0","0","0","0","0","1","0","1"
"15～19歳","27","2","8","2","0","0","0","0","0"
"20～24歳","57","14","15","27","11","0","0","1","0"
"25～29歳","59","19","9","27","4","1","2","0","0"
"30～34歳","33","18","8","23","1","0","1","0","0"
"35～39歳","26","7","2","16","2","0","2","1","0"
"40～44歳","17","9","0","8","2","1","3","1","0"
"45～49歳","5","2","1","6","4","2","2","0","0"
"50～54歳","4","4","0","3","0","0","2","1","0"
"55～59歳","0","3","1","2","1","0","6","1","1"
"60～64歳","0","4","0","0","0","0","11","4","1"
"65～69歳","0","2","0","0","0","0","12","1","3"
"70歳以上","0","1","0","0","1","0","42","8","1"
"合計","228","85","44","114","26","4","89","30","8"
"定点数","41","41","41","41","41","41","25","25","25"


