"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年32週
"集計期間終了週",2009年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","267","199","466","280"
"RSウイルス感染症","13","6","19","144"
"咽頭結膜熱","16","8","24","144"
"Ａ群溶血性レンサ球菌咽頭炎","40","46","86","144"
"感染性胃腸炎","204","200","404","144"
"水痘","36","38","74","144"
"手足口病","149","127","276","144"
"伝染性紅斑","25","16","41","144"
"突発性発しん","50","53","103","144"
"百日咳","3","5","8","144"
"ヘルパンギーナ","128","158","286","144"
"流行性耳下腺炎","68","71","139","144"
"不明発しん症","19","14","33","144"
"川崎病","1","0","1","144"
"急性出血性結膜炎","0","0","0","36"
"流行性角結膜炎","13","8","21","36"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","2","0","2","24"
"マイコプラズマ肺炎","2","7","9","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
