"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2010年6月"
"集計期間終了月","2010年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","33","36","13","25","0","0","19","9","0","",""
"区南部","3","0","1","3","0","0","3","0","0","",""
"区西南部","6","2","0","0","0","0","3","0","0","",""
"区西部","33","19","25","10","0","9","32","4","1","",""
"区西北部","14","4","8","10","0","0","4","3","0","",""
"区東北部","0","0","0","1","0","0","7","9","0","",""
"区東部","15","3","1","11","0","0","3","7","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","0","0","0","18","10","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","106","64","48","60","0","9","89","43","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2010年6月"
"集計期間終了月","2010年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","7","14","0","0","1","0","4","4","0","",""
"区南部","4","0","0","0","0","0","5","0","0","",""
"区西南部","3","6","4","0","0","0","2","0","0","",""
"区西部","11","6","6","4","1","0","11","3","0","",""
"区西北部","20","7","1","4","3","0","4","0","0","",""
"区東北部","3","1","0","0","2","0","2","4","0","",""
"区東部","9","2","2","1","1","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","12","1","1","0","2","0","0","0","0","",""
"北多摩西部","10","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","2","0","0","0","20","5","0","",""
"北多摩北部","1","1","0","0","0","0","0","0","1","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","80","38","16","9","10","0","51","16","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2010年6月"
"集計期間終了月","2010年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","40","50","13","25","1","0","23","13","0","10","4"
"区南部","7","0","1","3","0","0","8","0","0","3","1"
"区西南部","9","8","4","0","0","0","5","0","0","3","2"
"区西部","44","25","31","14","1","9","43","7","1","11","4"
"区西北部","34","11","9","14","3","0","8","3","0","6","2"
"区東北部","3","1","0","1","2","0","9","13","0","3","1"
"区東部","24","5","3","12","1","0","6","7","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","12","1","1","0","2","0","0","0","0","5","1"
"北多摩西部","10","0","0","0","0","0","0","0","0","1","1"
"北多摩南部","2","0","2","0","0","0","38","15","0","3","3"
"北多摩北部","1","1","0","0","0","0","0","1","1","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","186","102","64","69","10","9","140","59","2","52","24"


