"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年39週"
"集計期間終了週","2009年39週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","2","0","0","14","1","3","0","11","0","3","0","0","1","0","0","0","0","0","0"
"1歳","6","1","1","1","22","3","14","0","20","0","7","5","3","0","0","0","0","0","0","0"
"2歳","16","0","0","1","6","9","7","0","0","0","2","4","1","0","0","0","0","0","0","0"
"3歳","24","0","0","2","6","3","4","0","0","0","3","8","1","0","0","0","0","0","0","0"
"4歳","20","0","0","5","9","5","4","0","0","0","1","13","0","1","0","0","0","0","0","0"
"5歳","39","0","0","2","11","0","4","1","0","0","4","6","0","0","0","0","0","0","0","0"
"6歳","37","0","1","7","11","1","0","3","0","0","4","3","0","0","0","0","0","0","1","0"
"7歳","47","0","1","4","7","1","4","0","0","0","0","4","0","0","0","0","0","0","0","0"
"8歳","36","0","1","1","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"9歳","51","0","0","2","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10～14歳","371","0","0","2","18","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"15～19歳","228","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","48","0","0","3","10","0","0","0","0","0","1","2","0","0","0","1","0","0","1","0"
"30～39歳","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40～49歳","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"70～79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","987","3","4","31","125","24","40","4","33","0","25","51","5","2","0","6","0","0","2","1"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年39週"
"集計期間終了週","2009年39週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","1","0","0","7","3","0","0","12","0","4","0","0","0","0","0","0","0","0","0"
"1歳","7","1","0","0","16","6","10","0","16","0","14","2","4","0","0","1","0","0","0","0"
"2歳","10","1","0","1","12","5","6","0","1","0","2","6","0","0","0","0","0","0","0","0"
"3歳","18","1","1","2","14","3","7","1","0","0","6","6","0","0","0","0","0","0","1","0"
"4歳","23","0","1","4","4","0","3","1","0","0","6","6","0","0","0","0","0","0","0","0"
"5歳","29","0","0","2","3","1","4","0","0","0","0","4","0","0","0","0","0","0","0","0"
"6歳","41","0","0","3","7","1","0","1","0","0","2","2","0","0","0","0","0","0","0","0"
"7歳","38","0","0","0","3","1","1","0","0","0","0","6","0","0","0","0","0","0","0","0"
"8歳","44","0","0","2","5","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"9歳","51","0","0","1","5","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"10～14歳","291","0","0","1","13","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0"
"15～19歳","202","0","0","2","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20～29歳","54","0","0","2","14","1","3","0","0","3","0","4","0","0","0","0","0","0","0","0"
"30～39歳","45","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"40～49歳","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","921","4","2","20","107","21","35","3","29","4","36","42","5","0","1","4","0","0","2","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年39週"
"集計期間終了週","2009年39週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","3","0","0","21","4","3","0","23","0","7","0","0","1","0","0","0","0","0","0"
"1歳","13","2","1","1","38","9","24","0","36","0","21","7","7","0","0","1","0","0","0","0"
"2歳","26","1","0","2","18","14","13","0","1","0","4","10","1","0","0","0","0","0","0","0"
"3歳","42","1","1","4","20","6","11","1","0","0","9","14","1","0","0","0","0","0","1","0"
"4歳","43","0","1","9","13","5","7","1","0","0","7","19","0","1","0","0","0","0","0","0"
"5歳","68","0","0","4","14","1","8","1","0","0","4","10","0","0","0","0","0","0","0","0"
"6歳","78","0","1","10","18","2","0","4","0","0","6","5","0","0","0","0","0","0","1","0"
"7歳","85","0","1","4","10","2","5","0","0","0","0","10","0","0","0","0","0","0","0","0"
"8歳","80","0","1","3","6","1","0","0","0","0","0","6","1","0","0","0","0","0","0","0"
"9歳","102","0","0","3","10","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"10～14歳","662","0","0","3","31","0","1","0","0","0","0","3","0","0","0","0","0","0","1","0"
"15～19歳","430","0","0","3","8","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20～29歳","102","0","0","5","24","1","3","0","0","3","1","6","0","0","0","1","0","0","1","0"
"30～39歳","67","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"40～49歳","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"70～79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1908","7","6","51","232","45","75","7","62","4","61","93","10","2","1","10","0","0","4","1"
"定点数","284","147","147","147","147","147","147","147","147","147","147","147","147","147","39","39","24","24","24","24"


