"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2019年1月"
"集計期間終了月","2019年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","0","2","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","3","0","3","2","0","0","0","0","0"
"20～24歳","27","2","9","17","0","0","1","0","0"
"25～29歳","23","2","17","14","0","0","0","0","0"
"30～34歳","30","3","26","8","0","0","1","0","1"
"35～39歳","20","3","21","17","0","0","0","0","0"
"40～44歳","11","4","18","5","0","0","1","0","0"
"45～49歳","13","4","17","6","0","0","2","0","0"
"50～54歳","7","1","8","1","0","0","2","0","0"
"55～59歳","5","1","5","0","0","0","4","0","0"
"60～64歳","0","0","2","1","0","0","2","0","0"
"65～69歳","0","1","3","0","0","0","2","0","0"
"70歳以上","0","0","1","0","0","0","24","0","0"
"合計","139","21","130","71","0","0","45","3","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2019年1月"
"集計期間終了月","2019年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","1","1","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","4","2","2","1","0","0","0","1","0"
"20～24歳","27","5","13","8","0","0","1","0","0"
"25～29歳","20","2","16","5","0","0","0","0","0"
"30～34歳","12","2","14","7","1","0","1","0","0"
"35～39歳","13","2","7","1","0","0","0","0","0"
"40～44歳","5","0","9","0","0","0","0","0","0"
"45～49歳","7","3","3","2","0","0","1","0","0"
"50～54歳","2","1","0","1","1","0","0","1","0"
"55～59歳","0","2","0","1","0","0","1","0","0"
"60～64歳","0","2","0","0","0","0","0","0","0"
"65～69歳","0","0","0","0","0","0","0","1","0"
"70歳以上","1","0","0","0","0","0","13","1","0"
"合計","91","21","64","26","2","0","23","5","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2019年1月"
"集計期間終了月","2019年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","0","0"
"1～4歳","0","0","0","0","0","0","1","3","0"
"5～9歳","0","0","0","0","0","0","2","1","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","7","2","5","3","0","0","0","1","0"
"20～24歳","54","7","22","25","0","0","2","0","0"
"25～29歳","43","4","33","19","0","0","0","0","0"
"30～34歳","42","5","40","15","1","0","2","0","1"
"35～39歳","33","5","28","18","0","0","0","0","0"
"40～44歳","16","4","27","5","0","0","1","0","0"
"45～49歳","20","7","20","8","0","0","3","0","0"
"50～54歳","9","2","8","2","1","0","2","1","0"
"55～59歳","5","3","5","1","0","0","5","0","0"
"60～64歳","0","2","2","1","0","0","2","0","0"
"65～69歳","0","1","3","0","0","0","2","1","0"
"70歳以上","1","0","1","0","0","0","37","1","0"
"合計","230","42","194","97","2","0","68","8","1"
"定点数","54","54","54","54","54","54","25","25","25"


