"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年17週
"集計期間終了週",2025年17週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","194","178","372","417"
"新型コロナウイルス感染症（COVID-19）","162","179","341","417"
"急性呼吸器感染症（ARI）","12365","12050","24415","416"
"RSウイルス感染症","54","48","102","264"
"咽頭結膜熱","50","30","80","264"
"Ａ群溶血性レンサ球菌咽頭炎","603","461","1064","264"
"感染性胃腸炎","1247","1033","2280","264"
"水痘","128","101","229","264"
"手足口病","12","8","20","264"
"伝染性紅斑","103","118","221","264"
"突発性発しん","45","65","110","264"
"ヘルパンギーナ","2","0","2","264"
"流行性耳下腺炎","16","14","30","264"
"不明発しん症","11","9","20","264"
"川崎病","5","1","6","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","11","25","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","3","1","4","25"
"インフルエンザ入院","3","3","6","25"
"COVID-19入院","23","21","44","25"
