"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年29週
"集計期間終了週",2021年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","412"
"RSウイルス感染症","877","833","1710","259"
"咽頭結膜熱","15","11","26","259"
"Ａ群溶血性レンサ球菌咽頭炎","33","18","51","259"
"感染性胃腸炎","305","254","559","259"
"水痘","10","6","16","259"
"手足口病","6","8","14","259"
"伝染性紅斑","3","4","7","259"
"突発性発しん","38","33","71","259"
"ヘルパンギーナ","26","22","48","259"
"流行性耳下腺炎","12","9","21","259"
"不明発しん症","6","5","11","259"
"川崎病","1","0","1","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","4","3","7","38"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
