"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2015年42週
"集計期間終了週",2015年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","16","16","32","410"
"RSウイルス感染症","193","170","363","259"
"咽頭結膜熱","35","23","58","259"
"Ａ群溶血性レンサ球菌咽頭炎","230","188","418","259"
"感染性胃腸炎","457","410","867","259"
"水痘","34","42","76","259"
"手足口病","120","95","215","259"
"伝染性紅斑","38","33","71","259"
"突発性発しん","62","73","135","259"
"百日咳","1","4","5","259"
"ヘルパンギーナ","20","16","36","259"
"流行性耳下腺炎","64","60","124","259"
"不明発しん症","13","6","19","259"
"川崎病","2","0","2","259"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","18","6","24","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","11","11","22","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
