"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2015年20週
"集計期間終了週",2015年20週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","36","35","71","418"
"RSウイルス感染症","6","9","15","264"
"咽頭結膜熱","77","62","139","264"
"Ａ群溶血性レンサ球菌咽頭炎","613","479","1092","264"
"感染性胃腸炎","916","850","1766","264"
"水痘","82","72","154","264"
"手足口病","53","32","85","264"
"伝染性紅斑","160","171","331","264"
"突発性発しん","99","90","189","264"
"百日咳","4","4","8","264"
"ヘルパンギーナ","12","9","21","264"
"流行性耳下腺炎","39","30","69","264"
"不明発しん症","8","3","11","264"
"川崎病","1","1","2","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","16","9","25","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","2","3","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","0","1","1","25"
