"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年1週
"集計期間終了週",2025年1週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2230","2244","4474","320"
"新型コロナウイルス感染症（COVID-19）","206","222","428","320"
"RSウイルス感染症","13","4","17","203"
"咽頭結膜熱","7","5","12","203"
"Ａ群溶血性レンサ球菌咽頭炎","49","40","89","203"
"感染性胃腸炎","100","74","174","203"
"水痘","23","9","32","203"
"手足口病","4","7","11","203"
"伝染性紅斑","36","41","77","203"
"突発性発しん","5","4","9","203"
"ヘルパンギーナ","0","0","0","203"
"流行性耳下腺炎","2","0","2","203"
"不明発しん症","0","1","1","203"
"川崎病","3","3","6","203"
"急性出血性結膜炎","0","0","0","30"
"流行性角結膜炎","7","5","12","30"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","7","10","17","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","151","130","281","25"
"COVID-19入院","59","48","107","25"
