"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年5週
"集計期間終了週",2006年5週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2301","2298","4599","178"
"RSウイルス感染症","8","5","13","142"
"咽頭結膜熱","14","15","29","142"
"Ａ群溶血性レンサ球菌咽頭炎","167","148","315","142"
"感染性胃腸炎","564","545","1109","142"
"水痘","71","63","134","142"
"手足口病","4","5","9","142"
"伝染性紅斑","21","24","45","142"
"突発性発しん","30","26","56","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","1","2","3","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","71","30","101","142"
"不明発しん症","7","4","11","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","3","5","8","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
