"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年13週
"集計期間終了週",2018年13週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","375","413","788","415"
"RSウイルス感染症","38","30","68","261"
"咽頭結膜熱","28","23","51","261"
"Ａ群溶血性レンサ球菌咽頭炎","316","237","553","261"
"感染性胃腸炎","612","572","1184","261"
"水痘","37","47","84","261"
"手足口病","3","6","9","261"
"伝染性紅斑","22","26","48","261"
"突発性発しん","67","56","123","261"
"ヘルパンギーナ","1","0","1","261"
"流行性耳下腺炎","10","4","14","261"
"不明発しん症","5","3","8","261"
"川崎病","0","2","2","261"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","1","7","8","38"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","4","3","7","25"
"インフルエンザ入院","5","6","11","25"
