"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年47週
"集計期間終了週",2003年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","6","6","12","178"
"RSウイルス感染症","1","1","2","142"
"咽頭結膜熱","9","9","18","142"
"Ａ群溶血性レンサ球菌咽頭炎","65","49","114","142"
"感染性胃腸炎","666","612","1278","142"
"水痘","73","90","163","142"
"手足口病","22","20","42","142"
"伝染性紅斑","30","23","53","142"
"突発性発しん","41","49","90","142"
"百日咳","0","0","0","142"
"風しん","1","2","3","142"
"ヘルパンギーナ","5","6","11","142"
"麻しん（成人麻しん以外）","0","1","1","142"
"流行性耳下腺炎","9","8","17","142"
"不明発しん症","2","8","10","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","7","7","14","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","4","6","10","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","1","1","25"
