"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年7週
"集計期間終了週",2018年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4439","4698","9137","416"
"RSウイルス感染症","32","25","57","263"
"咽頭結膜熱","25","12","37","263"
"Ａ群溶血性レンサ球菌咽頭炎","311","264","575","263"
"感染性胃腸炎","568","528","1096","263"
"水痘","39","27","66","263"
"手足口病","2","2","4","263"
"伝染性紅斑","8","11","19","263"
"突発性発しん","44","48","92","263"
"ヘルパンギーナ","0","0","0","263"
"流行性耳下腺炎","10","12","22","263"
"不明発しん症","7","2","9","263"
"川崎病","3","4","7","263"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","3","9","12","38"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","50","48","98","25"
