"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年34週"
"集計期間終了週","2009年34週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","3","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","3","4","0","0","21","1","10","0","22","0","7","1","1","0","0","0","0","0","0","0"
"1歳","7","4","1","1","34","2","31","5","17","0","26","0","5","0","0","0","0","0","0","0"
"2歳","11","1","2","1","26","6","14","2","4","0","17","4","1","0","0","0","0","0","1","0"
"3歳","14","0","1","1","11","9","17","2","0","0","14","3","1","0","0","0","0","0","0","0"
"4歳","24","0","0","5","16","7","6","1","0","0","9","9","1","0","0","0","0","0","0","0"
"5歳","23","0","0","6","15","6","5","2","1","0","2","8","3","0","0","0","0","0","0","0"
"6歳","14","0","0","5","14","3","0","1","0","0","1","6","0","0","0","0","0","0","0","0"
"7歳","22","0","0","7","9","0","3","0","0","0","2","2","0","0","0","0","0","0","1","0"
"8歳","13","0","0","3","5","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","11","0","0","1","7","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"10～14歳","53","0","0","1","22","0","2","1","0","0","1","2","0","0","0","0","0","0","0","0"
"15～19歳","72","0","0","2","8","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20～29歳","58","0","0","1","22","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0"
"30～39歳","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"40～49歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60～69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","370","12","4","34","214","36","90","14","44","0","82","39","12","0","0","9","0","0","2","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年34週"
"集計期間終了週","2009年34週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","1","2","0","1","15","0","8","0","20","0","10","0","5","0","0","0","0","0","0","0"
"1歳","10","4","3","2","27","4","21","0","12","0","24","3","4","0","0","0","0","0","0","0"
"2歳","10","2","1","4","17","8","20","2","6","0","20","7","2","0","0","0","0","0","0","0"
"3歳","12","0","1","2","12","4","15","6","1","0","11","13","1","0","0","0","0","0","0","0"
"4歳","12","0","1","4","9","4","6","3","0","0","6","8","0","0","0","1","0","0","0","0"
"5歳","19","0","1","6","13","5","4","2","0","0","2","11","0","0","0","0","0","0","0","0"
"6歳","20","0","1","7","9","3","1","3","0","0","5","8","0","0","0","0","0","1","1","0"
"7歳","15","0","0","3","6","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0"
"8歳","12","0","0","3","7","1","0","2","0","0","0","4","0","0","0","1","0","0","0","0"
"9歳","14","0","0","4","6","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0"
"10～14歳","67","0","0","1","20","0","1","0","0","0","1","4","0","0","0","0","0","0","1","0"
"15～19歳","50","0","0","0","2","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"20～29歳","69","0","0","2","33","0","1","0","0","1","2","1","0","0","0","2","0","0","0","0"
"30～39歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60～69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","367","9","8","39","178","29","78","19","40","1","84","63","13","0","0","8","0","1","5","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年34週"
"集計期間終了週","2009年34週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","2","4","0","0","6","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","4","6","0","1","36","1","18","0","42","0","17","1","6","0","0","0","0","0","0","0"
"1歳","17","8","4","3","61","6","52","5","29","0","50","3","9","0","0","0","0","0","0","0"
"2歳","21","3","3","5","43","14","34","4","10","0","37","11","3","0","0","0","0","0","1","0"
"3歳","26","0","2","3","23","13","32","8","1","0","25","16","2","0","0","0","0","0","0","0"
"4歳","36","0","1","9","25","11","12","4","0","0","15","17","1","0","0","1","0","0","0","0"
"5歳","42","0","1","12","28","11","9","4","1","0","4","19","3","0","0","0","0","0","0","0"
"6歳","34","0","1","12","23","6","1","4","0","0","6","14","0","0","0","0","0","1","1","0"
"7歳","37","0","0","10","15","0","4","1","0","0","3","3","0","0","0","0","0","0","2","0"
"8歳","25","0","0","6","12","1","1","2","0","0","0","6","0","0","0","1","0","0","0","0"
"9歳","25","0","0","5","13","1","0","0","0","0","1","3","1","0","0","0","0","0","2","0"
"10～14歳","120","0","0","2","42","0","3","1","0","0","2","6","0","0","0","0","0","0","1","0"
"15～19歳","122","0","0","2","10","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"20～29歳","127","0","0","3","55","0","2","0","0","1","3","1","0","0","0","3","0","0","0","0"
"30～39歳","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"40～49歳","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"50～59歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"60～69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","737","21","12","73","392","65","168","33","84","1","166","102","25","0","0","17","0","1","7","0"
"定点数","275","143","143","143","143","143","143","143","143","143","143","143","143","143","38","38","24","24","24","24"


