"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2023年9月"
"集計期間終了月","2023年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","4","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","5","0","0","1","0","0","0","0","0"
"20～24歳","31","1","2","7","0","0","1","0","0"
"25～29歳","32","2","3","17","0","0","0","1","0"
"30～34歳","24","0","5","10","0","0","0","0","0"
"35～39歳","10","2","7","5","0","0","1","0","0"
"40～44歳","12","5","2","9","0","0","0","1","0"
"45～49歳","10","4","3","7","0","0","2","0","0"
"50～54歳","2","0","1","1","0","0","2","0","0"
"55～59歳","3","1","4","3","0","0","3","0","0"
"60～64歳","0","3","0","1","0","0","0","0","0"
"65～69歳","0","0","0","1","0","0","3","0","0"
"70歳以上","0","2","1","0","0","0","20","1","0"
"合計","129","20","28","62","0","0","40","3","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2023年9月"
"集計期間終了月","2023年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","12","1","3","5","0","0","0","0","0"
"20～24歳","31","9","6","6","1","0","0","0","0"
"25～29歳","21","2","0","1","0","0","0","0","0"
"30～34歳","9","1","2","1","0","0","1","0","0"
"35～39歳","3","3","1","1","0","0","0","0","0"
"40～44歳","7","2","0","2","1","0","0","0","0"
"45～49歳","4","0","0","2","2","0","1","0","0"
"50～54歳","0","0","0","0","0","0","1","0","0"
"55～59歳","2","0","0","0","0","0","1","0","0"
"60～64歳","1","0","1","0","0","0","1","0","0"
"65～69歳","0","0","0","0","0","0","2","0","0"
"70歳以上","0","0","0","0","0","0","12","0","0"
"合計","90","18","13","18","4","0","23","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2023年9月"
"集計期間終了月","2023年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","0","0"
"1～4歳","0","0","0","0","0","0","3","0","0"
"5～9歳","0","0","0","0","0","0","4","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","17","1","3","6","0","0","0","0","0"
"20～24歳","62","10","8","13","1","0","1","0","0"
"25～29歳","53","4","3","18","0","0","0","1","0"
"30～34歳","33","1","7","11","0","0","1","0","0"
"35～39歳","13","5","8","6","0","0","1","0","0"
"40～44歳","19","7","2","11","1","0","0","1","0"
"45～49歳","14","4","3","9","2","0","3","0","0"
"50～54歳","2","0","1","1","0","0","3","0","0"
"55～59歳","5","1","4","3","0","0","4","0","0"
"60～64歳","1","3","1","1","0","0","1","0","0"
"65～69歳","0","0","0","1","0","0","5","0","0"
"70歳以上","0","2","1","0","0","0","32","1","0"
"合計","219","38","41","80","4","0","63","3","0"
"定点数","55","55","55","55","55","55","25","25","25"


