"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2001年25週
"集計期間終了週",2001年25週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","6","6","12","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","6","9","15","142"
"Ａ群溶血性レンサ球菌咽頭炎","63","43","106","142"
"感染性胃腸炎","169","149","318","142"
"水痘","71","73","144","142"
"手足口病","54","57","111","142"
"伝染性紅斑","43","46","89","142"
"突発性発しん","44","38","82","142"
"百日咳","0","0","0","142"
"風しん","4","4","8","142"
"ヘルパンギーナ","203","160","363","142"
"麻しん（成人麻しん以外）","10","13","23","142"
"流行性耳下腺炎","76","58","134","142"
"不明発しん症","7","5","12","142"
"川崎病","2","5","7","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","8","9","17","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","12","6","18","25"
