"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2015年9月"
"集計期間終了月","2015年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","11","0","0"
"1～4歳","0","0","0","0","0","0","1","2","0"
"5～9歳","0","0","0","0","0","0","3","1","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","0","0","0","0","0","0"
"20～24歳","15","10","8","27","0","1","0","0","0"
"25～29歳","33","12","8","24","0","5","1","0","0"
"30～34歳","32","19","15","32","1","2","1","0","0"
"35～39歳","41","15","8","20","2","3","1","0","0"
"40～44歳","22","16","19","16","0","3","1","1","0"
"45～49歳","21","15","23","13","0","2","2","0","0"
"50～54歳","2","6","12","7","0","0","0","0","0"
"55～59歳","2","4","4","1","0","2","1","0","0"
"60～64歳","2","0","1","1","0","0","0","0","1"
"65～69歳","0","2","0","1","0","0","1","0","0"
"70歳以上","0","3","0","0","0","0","11","0","1"
"合計","170","102","98","142","3","18","34","4","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2015年9月"
"集計期間終了月","2015年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","10","4","0"
"5～9歳","0","0","0","0","0","0","0","1","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","4","1","1","0","0","0","0","0","0"
"20～24歳","33","9","5","8","5","2","0","0","0"
"25～29歳","21","6","6","9","4","3","0","0","0"
"30～34歳","16","7","8","5","1","2","0","0","0"
"35～39歳","12","3","10","8","2","1","0","0","0"
"40～44歳","5","2","5","2","1","3","0","0","0"
"45～49歳","6","3","7","1","1","0","0","1","0"
"50～54歳","0","1","1","1","2","1","1","0","0"
"55～59歳","1","0","2","1","1","0","0","0","0"
"60～64歳","0","0","1","0","0","0","0","0","0"
"65～69歳","0","0","0","0","0","0","3","0","0"
"70歳以上","0","0","0","0","0","0","9","0","0"
"合計","98","32","46","35","17","12","25","6","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2015年9月"
"集計期間終了月","2015年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","13","0","0"
"1～4歳","0","0","0","0","0","0","11","6","0"
"5～9歳","0","0","0","0","0","0","3","2","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","4","1","1","0","0","0","0","0","0"
"20～24歳","48","19","13","35","5","3","0","0","0"
"25～29歳","54","18","14","33","4","8","1","0","0"
"30～34歳","48","26","23","37","2","4","1","0","0"
"35～39歳","53","18","18","28","4","4","1","0","0"
"40～44歳","27","18","24","18","1","6","1","1","0"
"45～49歳","27","18","30","14","1","2","2","1","0"
"50～54歳","2","7","13","8","2","1","1","0","0"
"55～59歳","3","4","6","2","1","2","1","0","0"
"60～64歳","2","0","2","1","0","0","0","0","1"
"65～69歳","0","2","0","1","0","0","4","0","0"
"70歳以上","0","3","0","0","0","0","20","0","1"
"合計","268","134","144","177","20","30","59","10","2"
"定点数","54","54","54","54","54","54","25","25","25"


