"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年1週
"集計期間終了週",2018年1週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2145","2212","4357","404"
"RSウイルス感染症","32","22","54","253"
"咽頭結膜熱","26","20","46","253"
"Ａ群溶血性レンサ球菌咽頭炎","128","99","227","253"
"感染性胃腸炎","388","375","763","253"
"水痘","52","56","108","253"
"手足口病","6","4","10","253"
"伝染性紅斑","9","10","19","253"
"突発性発しん","32","20","52","253"
"ヘルパンギーナ","0","0","0","253"
"流行性耳下腺炎","8","8","16","253"
"不明発しん症","2","1","3","253"
"川崎病","0","0","0","253"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","7","9","16","38"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","47","45","92","25"
