"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2015年30週
"集計期間終了週",2015年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","7","3","10","413"
"RSウイルス感染症","17","6","23","262"
"咽頭結膜熱","70","47","117","262"
"Ａ群溶血性レンサ球菌咽頭炎","267","238","505","262"
"感染性胃腸炎","526","456","982","262"
"水痘","61","54","115","262"
"手足口病","1930","1696","3626","262"
"伝染性紅斑","111","123","234","262"
"突発性発しん","75","82","157","262"
"百日咳","1","2","3","262"
"ヘルパンギーナ","412","393","805","262"
"流行性耳下腺炎","56","33","89","262"
"不明発しん症","27","31","58","262"
"川崎病","6","1","7","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","16","26","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","3","2","5","25"
"マイコプラズマ肺炎","5","3","8","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","1","1","25"
