"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","0","0","0"
"1～4歳","0","0","0","0","0","0","2","2","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","2","0","1","1","0","0","1","0","0","0"
"20～24歳","16","6","1","11","0","1","1","1","0","0"
"25～29歳","20","3","13","7","0","1","0","0","0","0"
"30～34歳","23","6","9","14","0","1","0","0","0","0"
"35～39歳","14","14","6","12","1","0","2","1","0","0"
"40～44歳","12","6","8","6","0","0","0","0","0","0"
"45～49歳","6","12","4","6","0","2","0","0","0","0"
"50～54歳","8","5","5","3","0","0","2","0","0","0"
"55～59歳","3","4","2","1","0","0","3","0","1","0"
"60～64歳","1","3","5","0","0","0","3","0","0","0"
"65～69歳","0","5","0","0","0","0","5","1","0","0"
"70歳以上","0","4","1","0","0","0","22","6","0","0"
"合計","105","68","55","61","1","5","49","11","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","11","0","0","0"
"1～4歳","0","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","3","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","6","2","0","2","0","0","0","0","0","0"
"20～24歳","23","8","10","2","0","0","0","0","0","0"
"25～29歳","17","8","5","5","1","0","0","0","0","0"
"30～34歳","14","7","3","3","1","0","0","0","0","0"
"35～39歳","7","5","3","0","0","0","1","0","0","0"
"40～44歳","1","5","4","0","0","0","0","0","0","0"
"45～49歳","1","0","0","0","0","0","0","0","0","0"
"50～54歳","1","0","0","0","1","0","2","0","0","0"
"55～59歳","0","1","0","0","0","0","0","0","0","0"
"60～64歳","0","3","0","0","0","0","2","0","0","0"
"65～69歳","0","0","0","0","0","0","2","0","0","0"
"70歳以上","0","2","0","0","0","0","14","0","1","0"
"合計","70","41","25","12","3","0","35","2","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","17","0","0","0"
"1～4歳","0","0","0","0","0","0","2","4","0","0"
"5～9歳","0","0","0","0","0","0","5","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","8","2","1","3","0","0","1","0","0","0"
"20～24歳","39","14","11","13","0","1","1","1","0","0"
"25～29歳","37","11","18","12","1","1","0","0","0","0"
"30～34歳","37","13","12","17","1","1","0","0","0","0"
"35～39歳","21","19","9","12","1","0","3","1","0","0"
"40～44歳","13","11","12","6","0","0","0","0","0","0"
"45～49歳","7","12","4","6","0","2","0","0","0","0"
"50～54歳","9","5","5","3","1","0","4","0","0","0"
"55～59歳","3","5","2","1","0","0","3","0","1","0"
"60～64歳","1","6","5","0","0","0","5","0","0","0"
"65～69歳","0","5","0","0","0","0","7","1","0","0"
"70歳以上","0","6","1","0","0","0","36","6","1","0"
"合計","175","109","80","73","4","5","84","13","2","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


