"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2004年7週
"集計期間終了週",2004年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","873","998","1871","178"
"RSウイルス感染症","2","6","8","142"
"咽頭結膜熱","12","6","18","142"
"Ａ群溶血性レンサ球菌咽頭炎","70","44","114","142"
"感染性胃腸炎","487","453","940","142"
"水痘","83","77","160","142"
"手足口病","3","2","5","142"
"伝染性紅斑","39","27","66","142"
"突発性発しん","35","26","61","142"
"百日咳","0","0","0","142"
"風しん","1","2","3","142"
"ヘルパンギーナ","3","1","4","142"
"麻しん（成人麻しん以外）","1","2","3","142"
"流行性耳下腺炎","18","19","37","142"
"不明発しん症","2","9","11","142"
"川崎病","1","0","1","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","9","7","16","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","5","2","7","25"
"クラミジア肺炎(オウム病は除く)","0","2","2","25"
"成人麻しん","0","0","0","25"
