"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年15週"
"集計期間終了週","2025年15週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","40","13","842","8","2","15","104","3","0","13","4","2","2","0","0","0","0","0","0","1","0","0","0","3","","","","","","",""
"区南部","11","15","615","7","2","24","107","8","0","9","6","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"区西南部","27","12","647","2","0","34","70","4","2","9","4","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"区西部","16","25","826","5","3","46","66","7","1","6","2","0","1","0","2","0","2","0","0","0","1","1","0","5","","","","","","",""
"区西北部","47","38","1110","16","1","63","105","12","1","5","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"区東北部","19","30","978","11","4","25","122","7","0","19","10","0","1","0","1","0","1","0","0","1","0","0","0","0","","","","","","",""
"区東部","22","18","857","8","7","36","123","2","1","11","4","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","6","5","121","0","0","1","16","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"南多摩","26","35","1498","4","2","32","138","4","0","12","7","0","3","1","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","13","7","337","0","0","30","43","5","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北多摩南部","20","17","868","2","2","29","67","11","1","4","4","0","5","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"北多摩北部","34","23","630","5","3","30","83","5","3","8","3","0","0","0","1","0","0","0","0","0","0","0","0","9","","","","","","",""
"島しょ","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","281","240","9341","68","26","365","1044","68","9","103","48","2","15","3","4","0","5","0","0","2","1","1","0","23","","","","","","",""


