"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2017年8月"
"集計期間終了月","2017年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","0","0"
"1～4歳","0","0","0","0","0","0","0","3","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","0","2","0","3","0","0","2","0","0"
"20～24歳","12","0","2","12","0","0","3","0","0"
"25～29歳","24","7","10","13","0","0","2","0","0"
"30～34歳","17","5","9","14","0","0","0","0","0"
"35～39歳","15","13","14","14","0","0","0","0","0"
"40～44歳","13","11","17","8","0","0","0","0","0"
"45～49歳","11","10","7","5","0","0","3","0","0"
"50～54歳","8","10","6","8","0","0","2","0","0"
"55～59歳","3","9","2","3","0","0","0","0","0"
"60～64歳","1","3","2","0","0","0","1","0","0"
"65～69歳","4","0","0","0","0","0","0","0","0"
"70歳以上","0","3","1","0","0","0","33","5","0"
"合計","108","73","70","80","0","0","54","8","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2017年8月"
"集計期間終了月","2017年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","2","2","0"
"5～9歳","0","0","0","0","0","0","5","1","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","3","1","0","1","2","0","1","0","0"
"20～24歳","32","6","4","6","1","0","0","0","0"
"25～29歳","23","5","8","5","1","0","0","0","0"
"30～34歳","7","1","4","1","2","0","0","0","0"
"35～39歳","12","5","3","4","1","0","2","0","0"
"40～44歳","1","5","1","4","0","0","2","0","0"
"45～49歳","4","0","2","1","2","0","0","0","0"
"50～54歳","1","2","2","1","1","0","1","0","0"
"55～59歳","0","2","0","0","0","0","2","0","0"
"60～64歳","0","0","0","0","0","0","1","1","0"
"65～69歳","0","1","0","0","0","0","3","0","0"
"70歳以上","0","1","1","0","0","0","12","0","0"
"合計","83","29","25","23","10","0","35","4","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2017年8月"
"集計期間終了月","2017年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","0","0"
"1～4歳","0","0","0","0","0","0","2","5","0"
"5～9歳","0","0","0","0","0","0","6","1","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","3","3","0","4","2","0","3","0","0"
"20～24歳","44","6","6","18","1","0","3","0","0"
"25～29歳","47","12","18","18","1","0","2","0","0"
"30～34歳","24","6","13","15","2","0","0","0","0"
"35～39歳","27","18","17","18","1","0","2","0","0"
"40～44歳","14","16","18","12","0","0","2","0","0"
"45～49歳","15","10","9","6","2","0","3","0","0"
"50～54歳","9","12","8","9","1","0","3","0","0"
"55～59歳","3","11","2","3","0","0","2","0","0"
"60～64歳","1","3","2","0","0","0","2","1","0"
"65～69歳","4","1","0","0","0","0","3","0","0"
"70歳以上","0","4","2","0","0","0","45","5","0"
"合計","191","102","95","103","10","0","89","12","0"
"定点数","55","55","55","55","55","55","25","25","25"


