"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年26週
"集計期間終了週",2019年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","14","17","31","412"
"RSウイルス感染症","61","36","97","260"
"咽頭結膜熱","80","69","149","260"
"Ａ群溶血性レンサ球菌咽頭炎","355","314","669","260"
"感染性胃腸炎","828","716","1544","260"
"水痘","100","85","185","260"
"手足口病","722","603","1325","260"
"伝染性紅斑","43","57","100","260"
"突発性発しん","59","76","135","260"
"ヘルパンギーナ","177","180","357","260"
"流行性耳下腺炎","22","18","40","260"
"不明発しん症","17","12","29","260"
"川崎病","3","1","4","260"
"急性出血性結膜炎","0","1","1","38"
"流行性角結膜炎","9","7","16","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","2","4","6","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","0","0","0","25"
