"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2005年11月"
"集計期間終了月","2005年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","",""
"中央区","8","4","2","5","0","0","0","0","0","",""
"みなと","6","3","0","2","1","0","8","0","0","",""
"新宿区","29","16","14","30","1","0","30","11","1","",""
"文京","0","0","0","0","0","0","6","6","0","",""
"台東","0","0","1","2","0","0","0","0","0","",""
"墨田区","0","3","1","1","0","0","4","4","0","",""
"江東区","17","5","7","12","0","0","0","0","0","",""
"品川区","2","0","1","1","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","6","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","10","0","2","",""
"渋谷区","4","4","1","1","0","0","2","0","0","",""
"中野区","1","1","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","20","9","10","7","0","2","3","0","0","",""
"北区","2","1","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","1","1","1","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","4","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","5","4","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","7","0","1","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","0","0","0","0","0","1","",""
"多摩小平","0","0","0","0","0","0","5","17","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","97","47","39","68","2","2","81","42","5","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2005年11月"
"集計期間終了月","2005年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","0","0","0","0","0","0","0","0","0","",""
"みなと","4","10","1","0","0","0","2","0","0","",""
"新宿区","11","10","4","7","1","0","25","9","3","",""
"文京","0","0","0","0","0","0","2","3","0","",""
"台東","13","22","4","4","0","0","0","0","0","",""
"墨田区","0","0","0","0","0","0","3","4","0","",""
"江東区","8","0","1","3","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","4","0","0","",""
"渋谷区","0","0","0","0","0","0","3","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
