"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年2月"
"集計期間終了月","2009年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","5","0"
"1～4歳","0","0","0","0","0","0","4","9","0"
"5～9歳","0","0","0","0","0","0","2","1","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","2","0","1","2","0","0","0","0","0"
"20～24歳","14","3","2","10","0","1","0","0","0"
"25～29歳","24","10","8","13","0","0","0","0","0"
"30～34歳","19","3","8","6","0","0","0","0","0"
"35～39歳","10","9","7","7","0","1","0","0","0"
"40～44歳","7","7","3","7","1","0","4","0","0"
"45～49歳","7","4","1","1","0","1","0","1","0"
"50～54歳","4","1","3","1","0","0","1","0","1"
"55～59歳","1","3","1","4","0","0","4","0","0"
"60～64歳","1","0","0","0","0","0","6","1","0"
"65～69歳","0","3","0","0","0","0","13","0","0"
"70歳以上","0","0","0","0","0","0","45","1","0"
"合計","89","43","34","51","1","3","83","18","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年2月"
"集計期間終了月","2009年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1～4歳","0","0","0","0","0","0","4","4","0"
"5～9歳","0","0","0","0","0","0","1","5","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","9","1","1","3","0","0","0","1","0"
"20～24歳","41","4","1","8","2","0","0","0","0"
"25～29歳","26","8","3","5","1","1","0","1","0"
"30～34歳","10","9","0","1","1","0","0","1","0"
"35～39歳","10","1","0","1","2","1","0","1","0"
"40～44歳","1","0","0","1","1","0","0","1","0"
"45～49歳","0","0","0","0","0","0","1","1","0"
"50～54歳","0","0","0","0","2","0","1","0","1"
"55～59歳","0","0","0","0","0","0","0","0","0"
"60～64歳","0","0","0","0","0","0","2","0","0"
"65～69歳","0","0","0","0","0","0","1","0","0"
"70歳以上","0","0","0","0","0","0","21","4","0"
"合計","97","23","5","19","9","2","35","21","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年2月"
"集計期間終了月","2009年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","7","0"
"1～4歳","0","0","0","0","0","0","8","13","0"
"5～9歳","0","0","0","0","0","0","3","6","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","11","1","2","5","0","0","0","1","0"
"20～24歳","55","7","3","18","2","1","0","0","0"
"25～29歳","50","18","11","18","1","1","0","1","0"
"30～34歳","29","12","8","7","1","0","0","1","0"
"35～39歳","20","10","7","8","2","2","0","1","0"
"40～44歳","8","7","3","8","2","0","4","1","0"
"45～49歳","7","4","1","1","0","1","1","2","0"
"50～54歳","4","1","3","1","2","0","2","0","2"
"55～59歳","1","3","1","4","0","0","4","0","0"
"60～64歳","1","0","0","0","0","0","8","1","0"
"65～69歳","0","3","0","0","0","0","14","0","0"
"70歳以上","0","0","0","0","0","0","66","5","0"
"合計","186","66","39","70","10","5","118","39","2"
"定点数","55","55","55","55","55","55","24","24","24"


