"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2015年5週
"集計期間終了週",2015年5週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3808","4036","7844","416"
"RSウイルス感染症","53","44","97","263"
"咽頭結膜熱","23","14","37","263"
"Ａ群溶血性レンサ球菌咽頭炎","351","341","692","263"
"感染性胃腸炎","1110","1134","2244","263"
"水痘","36","53","89","263"
"手足口病","16","13","29","263"
"伝染性紅斑","104","103","207","263"
"突発性発しん","62","64","126","263"
"百日咳","2","3","5","263"
"ヘルパンギーナ","2","4","6","263"
"流行性耳下腺炎","41","25","66","263"
"不明発しん症","2","6","8","263"
"川崎病","5","1","6","263"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","5","5","10","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","24","9","33","25"
