"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年46週
"集計期間終了週",2005年46週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","15","10","25","178"
"RSウイルス感染症","34","26","60","142"
"咽頭結膜熱","29","22","51","142"
"Ａ群溶血性レンサ球菌咽頭炎","124","121","245","142"
"感染性胃腸炎","468","435","903","142"
"水痘","76","72","148","142"
"手足口病","19","15","34","142"
"伝染性紅斑","13","21","34","142"
"突発性発しん","32","23","55","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","6","13","19","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","106","76","182","142"
"不明発しん症","3","7","10","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","6","5","11","14"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","3","4","7","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
