"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年51週"
"集計期間終了週","2012年51週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","44","6","8","19","174","9","11","2","4","0","1","1","0","0","0","3","0","0","2","0","2","","","","","",""
"区南部","38","2","7","19","300","12","4","1","6","0","1","0","2","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","42","5","3","31","255","24","3","0","4","0","1","2","1","0","0","3","0","0","0","0","0","","","","","",""
"区西部","43","13","1","18","268","12","0","0","7","0","0","1","2","1","0","0","0","0","2","0","0","","","","","",""
"区西北部","36","5","4","19","337","14","4","0","8","0","5","2","0","0","0","3","0","0","0","0","0","","","","","",""
"区東北部","68","14","13","40","437","16","4","0","8","0","1","2","1","0","0","2","0","0","0","0","0","","","","","",""
"区東部","75","13","20","77","359","28","5","0","2","0","0","1","1","0","0","1","1","0","1","0","0","","","","","",""
"西多摩","19","1","5","1","59","8","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","38","10","10","57","391","49","7","0","9","0","0","2","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","13","4","3","23","134","5","1","0","5","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","23","5","5","27","195","17","4","0","7","0","0","6","0","0","0","1","1","0","2","0","0","","","","","",""
"北多摩北部","27","15","4","35","175","23","0","0","6","0","0","1","1","0","0","0","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","466","93","83","366","3084","218","43","3","70","0","10","18","11","1","0","13","2","0","8","0","2","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年51週"
"集計期間終了週","2012年51週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","41","2","6","18","183","7","5","4","11","0","1","1","0","0","0","1","0","0","2","0","2","","","","","",""
"区南部","25","8","10","18","284","5","5","3","7","0","1","1","2","0","0","0","0","0","0","0","0","","","","","",""
