"全数報告疾病 週報告分 （集計）"
"東京都"
"集計期間開始週","2005年23週"
"集計期間終了週","2005年23週"

"疾病名","報告数"
"エボラ出血熱","0"
"クリミア・コンゴ出血熱","0"
"重症急性呼吸器症候群","0"
"痘そう","0"
"ペスト","0"
"マールブルグ病","0"
"ラッサ熱","0"
"急性灰白髄炎","0"
"コレラ","0"
"細菌性赤痢","2"
"ジフテリア","0"
"腸チフス","0"
"パラチフス","0"
"腸管出血性大腸菌感染症","4"
"E型肝炎","0"
"ウエストナイル熱","0"
"A型肝炎","0"
"エキノコックス症","0"
"エムポックス","0"
"黄熱","0"
"オウム病","0"
"回帰熱","0"
"Ｑ熱","2"
"狂犬病","0"
"鳥インフルエンザ","0"
"コクシジオイデス症","0"
"腎症候性出血熱","0"
"炭疽","0"
"つつが虫病","0"
"デング熱","0"
"ニパウイルス感染症","0"
"日本紅斑熱","0"
"日本脳炎","0"
"ハンタウイルス肺症候群","0"
"Ｂウイルス病","0"
"ブルセラ症","0"
"発しんチフス","0"
"ボツリヌス症","0"
"マラリア","0"
"野兎病","0"
"ライム病","0"
"リッサウイルス感染症","0"
"レジオネラ症","0"
"レプトスピラ症","0"
"アメーバ赤痢","2"
"ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）","0"
"急性脳炎","0"
"クリプトスポリジウム症","0"
"クロイツフェルト・ヤコブ病","0"
"劇症型溶血性レンサ球菌感染症","0"
"後天性免疫不全症候群","12"
"ジアルジア症","1"
"髄膜炎菌性髄膜炎","1"
"先天性風しん症候群","0"
"梅毒","0"
"破傷風","0"
"バンコマイシン耐性黄色ブドウ球菌感染症","0"
"バンコマイシン耐性腸球菌感染症","0"

