"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2010年45週
"集計期間終了週",2010年45週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","57","50","107","287"
"RSウイルス感染症","38","22","60","149"
"咽頭結膜熱","28","23","51","149"
"Ａ群溶血性レンサ球菌咽頭炎","142","108","250","149"
"感染性胃腸炎","695","647","1342","149"
"水痘","84","72","156","149"
"手足口病","41","31","72","149"
"伝染性紅斑","22","28","50","149"
"突発性発しん","34","30","64","149"
"百日咳","4","5","9","149"
"ヘルパンギーナ","9","8","17","149"
"流行性耳下腺炎","53","29","82","149"
"不明発しん症","4","3","7","149"
"川崎病","2","1","3","149"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","13","5","18","39"
"細菌性髄膜炎","0","1","1","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","10","11","21","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
