"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年27週
"集計期間終了週",2025年27週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","59","45","104","418"
"新型コロナウイルス感染症（COVID-19）","321","369","690","418"
"急性呼吸器感染症（ARI）","11519","11187","22706","418"
"RSウイルス感染症","30","25","55","263"
"咽頭結膜熱","74","62","136","263"
"Ａ群溶血性レンサ球菌咽頭炎","379","362","741","263"
"感染性胃腸炎","873","710","1583","263"
"水痘","87","88","175","263"
"手足口病","60","71","131","263"
"伝染性紅斑","80","83","163","263"
"突発性発しん","44","51","95","263"
"ヘルパンギーナ","123","85","208","263"
"流行性耳下腺炎","15","4","19","263"
"不明発しん症","11","13","24","263"
"川崎病","2","0","2","263"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","16","12","28","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","7","4","11","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","1","2","25"
"COVID-19入院","22","18","40","25"
