"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年47週
"集計期間終了週",2006年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1","2","3","178"
"RSウイルス感染症","23","18","41","142"
"咽頭結膜熱","20","6","26","142"
"Ａ群溶血性レンサ球菌咽頭炎","109","110","219","142"
"感染性胃腸炎","1464","1410","2874","142"
"水痘","62","69","131","142"
"手足口病","40","28","68","142"
"伝染性紅斑","21","24","45","142"
"突発性発しん","37","28","65","142"
"百日咳","0","1","1","142"
"風しん","1","0","1","142"
"ヘルパンギーナ","4","1","5","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","24","28","52","142"
"不明発しん症","7","7","14","142"
"川崎病","1","2","3","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","4","5","9","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","3","0","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","1","0","1","25"
