"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年7週
"集計期間終了週",2011年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3452","3420","6872","418"
"RSウイルス感染症","33","24","57","263"
"咽頭結膜熱","46","39","85","263"
"Ａ群溶血性レンサ球菌咽頭炎","350","305","655","263"
"感染性胃腸炎","1477","1306","2783","263"
"水痘","161","141","302","263"
"手足口病","10","5","15","263"
"伝染性紅斑","52","66","118","263"
"突発性発しん","72","82","154","263"
"百日咳","4","7","11","263"
"ヘルパンギーナ","0","1","1","263"
"流行性耳下腺炎","40","38","78","263"
"不明発しん症","11","11","22","263"
"川崎病","1","1","2","263"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","3","9","12","37"
"細菌性髄膜炎","1","0","1","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","9","5","14","24"
"クラミジア肺炎(オウム病は除く)","1","0","1","24"
"インフルエンザ入院","0","0","0","25"
