"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年3月"
"集計期間終了月","2013年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","2","2","0","0"
"1～4歳","0","0","0","0","0","0","6","8","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","5","2","4","4","0","0","1","0","0","0"
"20～24歳","10","7","2","8","0","2","0","0","0","0"
"25～29歳","38","9","10","14","0","1","0","0","0","0"
"30～34歳","23","10","16","19","0","4","2","0","0","0"
"35～39歳","17","9","16","22","0","3","1","0","0","0"
"40～44歳","14","13","5","9","0","2","1","0","0","0"
"45～49歳","7","9","4","1","0","0","0","0","0","0"
"50～54歳","5","2","3","5","0","2","1","0","0","0"
"55～59歳","2","1","0","0","0","1","1","0","0","0"
"60～64歳","1","6","2","1","0","0","2","0","0","0"
"65～69歳","1","1","2","0","0","0","0","0","0","0"
"70歳以上","0","4","2","0","0","0","19","5","0","0"
"合計","123","73","66","83","0","15","37","15","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年3月"
"集計期間終了月","2013年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","0","0","0"
"1～4歳","0","0","0","0","0","0","2","3","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","12","0","3","1","1","0","0","0","0","0"
"20～24歳","22","8","11","6","1","0","0","0","0","0"
"25～29歳","18","11","4","7","3","0","0","0","0","0"
"30～34歳","12","6","1","1","1","0","0","0","0","0"
"35～39歳","7","3","2","0","2","0","0","0","0","0"
"40～44歳","3","1","1","1","1","0","1","0","0","0"
"45～49歳","0","0","0","0","0","0","2","0","0","0"
"50～54歳","1","1","0","0","0","0","0","0","0","0"
"55～59歳","0","1","0","0","0","0","2","0","0","0"
"60～64歳","0","1","0","0","1","0","0","0","0","0"
"65～69歳","0","1","0","0","0","0","0","0","0","0"
"70歳以上","0","3","0","0","2","0","8","1","0","0"
"合計","75","36","22","16","12","0","19","4","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年3月"
"集計期間終了月","2013年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","2","0","0"
"1～4歳","0","0","0","0","0","0","8","11","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","17","2","7","5","1","0","1","0","0","0"
"20～24歳","32","15","13","14","1","2","0","0","0","0"
"25～29歳","56","20","14","21","3","1","0","0","0","0"
"30～34歳","35","16","17","20","1","4","2","0","0","0"
"35～39歳","24","12","18","22","2","3","1","0","0","0"
"40～44歳","17","14","6","10","1","2","2","0","0","0"
"45～49歳","7","9","4","1","0","0","2","0","0","0"
"50～54歳","6","3","3","5","0","2","1","0","0","0"
"55～59歳","2","2","0","0","0","1","3","0","0","0"
"60～64歳","1","7","2","1","1","0","2","0","0","0"
"65～69歳","1","2","2","0","0","0","0","0","0","0"
"70歳以上","0","7","2","0","2","0","27","6","0","0"
"合計","198","109","88","99","12","15","56","19","0","0"
"定点数","53","53","53","53","53","53","24","24","24","24"


