"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年42週
"集計期間終了週",2023年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4754","4304","9058","416"
"新型コロナウイルス感染症（COVID-19）","387","432","819","416"
"RSウイルス感染症","8","7","15","261"
"咽頭結膜熱","348","282","630","261"
"Ａ群溶血性レンサ球菌咽頭炎","497","419","916","261"
"感染性胃腸炎","496","453","949","261"
"水痘","23","13","36","261"
"手足口病","173","144","317","261"
"伝染性紅斑","4","1","5","261"
"突発性発しん","27","38","65","261"
"ヘルパンギーナ","30","21","51","261"
"流行性耳下腺炎","8","4","12","261"
"不明発しん症","9","10","19","261"
"川崎病","3","2","5","261"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","27","19","46","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","21","10","31","25"
"COVID-19入院","26","22","48","25"
