"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年28週
"集計期間終了週",2003年28週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","55","35","90","142"
"Ａ群溶血性レンサ球菌咽頭炎","47","35","82","142"
"感染性胃腸炎","181","163","344","142"
"水痘","53","46","99","142"
"手足口病","426","304","730","142"
"伝染性紅斑","20","19","39","142"
"突発性発しん","33","42","75","142"
"百日咳","1","0","1","142"
"風しん","3","1","4","142"
"ヘルパンギーナ","329","290","619","142"
"麻しん（成人麻しん以外）","2","2","4","142"
"流行性耳下腺炎","15","11","26","142"
"不明発しん症","6","11","17","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","13","7","20","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","1","4","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","5","2","7","25"
