"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年24週"
"集計期間終了週","2023年24週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","18","3","1","1","3","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","1","12","0","0","2","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","14","22","6","2","11","4","1","1","0","2","13","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","3","30","7","2","6","19","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"文京","5","25","0","1","2","6","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","20","14","3","2","1","38","0","1","0","1","14","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","11","53","5","1","0","5","0","0","0","1","15","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"江東区","7","34","11","0","6","34","0","3","0","1","17","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","12","21","1","1","6","12","1","1","0","0","26","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","17","2","0","1","11","0","0","0","1","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","26","42","40","13","27","60","0","9","1","2","48","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
