"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年10週
"集計期間終了週",2025年10週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","422","350","772","419"
"新型コロナウイルス感染症（COVID-19）","529","644","1173","419"
"RSウイルス感染症","85","64","149","264"
"咽頭結膜熱","13","25","38","264"
"Ａ群溶血性レンサ球菌咽頭炎","380","283","663","264"
"感染性胃腸炎","1802","1555","3357","264"
"水痘","58","46","104","264"
"手足口病","2","2","4","264"
"伝染性紅斑","97","103","200","264"
"突発性発しん","31","24","55","264"
"ヘルパンギーナ","1","2","3","264"
"流行性耳下腺炎","12","7","19","264"
"不明発しん症","11","2","13","264"
"川崎病","4","0","4","264"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","14","13","27","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","4","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","6","2","8","25"
"インフルエンザ入院","5","3","8","25"
"COVID-19入院","43","42","85","25"
