"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年29週
"集計期間終了週",2020年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","414"
"RSウイルス感染症","1","0","1","260"
"咽頭結膜熱","13","6","19","260"
"Ａ群溶血性レンサ球菌咽頭炎","93","92","185","260"
"感染性胃腸炎","417","348","765","260"
"水痘","9","8","17","260"
"手足口病","17","16","33","260"
"伝染性紅斑","3","2","5","260"
"突発性発しん","72","76","148","260"
"ヘルパンギーナ","19","32","51","260"
"流行性耳下腺炎","13","8","21","260"
"不明発しん症","2","2","4","260"
"川崎病","1","2","3","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","6","2","8","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","24"
