"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","0","1","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","2","0","0","1","0","0","1","1","0"
"20～24歳","27","3","3","3","0","0","0","0","0"
"25～29歳","30","5","9","9","0","0","1","0","0"
"30～34歳","23","5","3","9","1","0","1","0","0"
"35～39歳","18","6","6","7","0","0","0","0","0"
"40～44歳","13","5","2","7","0","0","1","0","0"
"45～49歳","5","1","4","0","0","0","1","0","1"
"50～54歳","10","0","2","2","0","0","1","0","0"
"55～59歳","2","1","4","1","0","0","2","0","0"
"60～64歳","4","2","1","2","0","0","1","0","0"
"65～69歳","0","0","1","0","0","0","2","0","0"
"70歳以上","0","1","0","0","0","0","17","1","1"
"合計","134","29","35","41","1","0","29","3","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","5","0","0","3","0","0","1","0","0"
"20～24歳","22","4","6","4","1","0","0","0","0"
"25～29歳","32","6","5","2","3","0","2","0","0"
"30～34歳","23","6","4","2","0","0","0","0","0"
"35～39歳","6","3","0","1","1","0","2","0","0"
"40～44歳","3","2","0","1","1","0","0","0","0"
"45～49歳","4","3","0","1","0","0","1","0","0"
"50～54歳","3","0","1","1","1","0","0","0","0"
"55～59歳","1","0","1","1","0","0","0","0","0"
"60～64歳","0","0","0","0","0","0","1","0","1"
"65～69歳","0","0","0","0","0","0","0","0","0"
"70歳以上","0","0","0","0","0","0","9","0","0"
"合計","99","24","17","16","7","0","18","0","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年4月"
"集計期間終了月","2025年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","1","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","7","0","0","4","0","0","2","1","0"
"20～24歳","49","7","9","7","1","0","0","0","0"
"25～29歳","62","11","14","11","3","0","3","0","0"
"30～34歳","46","11","7","11","1","0","1","0","0"
"35～39歳","24","9","6","8","1","0","2","0","0"
"40～44歳","16","7","2","8","1","0","1","0","0"
"45～49歳","9","4","4","1","0","0","2","0","1"
"50～54歳","13","0","3","3","1","0","1","0","0"
"55～59歳","3","1","5","2","0","0","2","0","0"
"60～64歳","4","2","1","2","0","0","2","0","1"
"65～69歳","0","0","1","0","0","0","2","0","0"
"70歳以上","0","1","0","0","0","0","26","1","1"
"合計","233","53","52","57","8","0","47","3","3"
"定点数","55","55","55","55","55","55","25","25","25"


