"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年19週
"集計期間終了週",2025年19週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","106","79","185","419"
"新型コロナウイルス感染症（COVID-19）","96","104","200","419"
"急性呼吸器感染症（ARI）","8801","8797","17598","418"
"RSウイルス感染症","14","13","27","264"
"咽頭結膜熱","44","26","70","264"
"Ａ群溶血性レンサ球菌咽頭炎","422","322","744","264"
"感染性胃腸炎","823","692","1515","264"
"水痘","111","88","199","264"
"手足口病","11","18","29","264"
"伝染性紅斑","104","76","180","264"
"突発性発しん","44","32","76","264"
"ヘルパンギーナ","2","5","7","264"
"流行性耳下腺炎","9","7","16","264"
"不明発しん症","3","6","9","264"
"川崎病","5","3","8","264"
"急性出血性結膜炎","1","1","2","39"
"流行性角結膜炎","7","7","14","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","2","2","4","25"
"インフルエンザ入院","1","1","2","25"
"COVID-19入院","18","8","26","25"
