"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年12週
"集計期間終了週",2018年12週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","583","621","1204","413"
"RSウイルス感染症","40","37","77","262"
"咽頭結膜熱","23","19","42","262"
"Ａ群溶血性レンサ球菌咽頭炎","310","278","588","262"
"感染性胃腸炎","603","576","1179","262"
"水痘","32","33","65","262"
"手足口病","4","13","17","262"
"伝染性紅斑","12","12","24","262"
"突発性発しん","67","52","119","262"
"ヘルパンギーナ","0","1","1","262"
"流行性耳下腺炎","7","7","14","262"
"不明発しん症","2","7","9","262"
"川崎病","3","1","4","262"
"急性出血性結膜炎","0","1","1","38"
"流行性角結膜炎","4","2","6","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","7","5","12","25"
"インフルエンザ入院","7","1","8","25"
