"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年51週
"集計期間終了週",2017年51週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2904","2917","5821","415"
"RSウイルス感染症","58","45","103","262"
"咽頭結膜熱","106","78","184","262"
"Ａ群溶血性レンサ球菌咽頭炎","516","458","974","262"
"感染性胃腸炎","1739","1585","3324","262"
"水痘","74","71","145","262"
"手足口病","56","41","97","262"
"伝染性紅斑","23","10","33","262"
"突発性発しん","54","61","115","262"
"百日咳","1","1","2","262"
"ヘルパンギーナ","5","5","10","262"
"流行性耳下腺炎","11","5","16","262"
"不明発しん症","4","6","10","262"
"川崎病","5","4","9","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","13","19","32","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","20","21","41","25"
