"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2001年8月"
"集計期間終了月","2001年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央","3","3","1","1","0","0","0","0","0","",""
"日本橋","0","0","0","0","0","0","0","0","0","",""
"みなと","8","7","2","12","0","0","0","0","0","",""
"新宿区","16","2","1","12","0","0","44","9","9","",""
"文京","0","0","0","0","0","0","9","6","0","",""
"台東","0","1","0","0","0","0","0","0","0","",""
"墨田区","5","4","2","1","0","0","3","0","0","",""
"江東区","17","6","4","19","0","1","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","7","0","0","",""
"世田谷","0","0","0","0","0","0","9","0","0","",""
"渋谷区","9","1","0","5","0","0","6","2","0","",""
"中野区","9","3","0","1","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","26","7","8","9","0","1","5","0","0","",""
"長崎","0","0","0","0","0","0","0","0","0","",""
"北区","0","1","2","2","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","10","0","2","3","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","5","0","1","6","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"小岩","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","7","0","0","",""
"秋川","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"多摩川","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","2","0","12","0","0","0","0","0","",""
"村山大和","0","0","0","0","0","0","0","0","0","",""
"府中小金井","0","0","0","0","0","0","0","0","0","",""
"狛江調布","0","0","0","0","0","0","0","0","0","",""
"三鷹武蔵野","10","6","3","8","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"多摩東村山","0","0","0","0","0","0","0","3","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","119","43","26","91","0","2","90","20","9","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2001年8月"
"集計期間終了月","2001年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央","1","0","0","1","0","0","0","0","0","",""
"日本橋","0","0","0","0","0","0","0","0","0","",""
"みなと","10","3","0","1","0","1","0","0","0","",""
"新宿区","22","8","5","8","0","0","25","5","2","",""
"文京","0","0","0","0","0","0","12","2","0","",""
"台東","52","17","2","5","23","0","0","0","0","",""
"墨田区","0","2","0","0","0","0","0","0","0","",""
"江東区","4","0","1","1","2","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","1","0","0","0","0","3","0","0","",""
"世田谷","0","0","0","0","0","0","4","0","0","",""
"渋谷区","0","0","0","0","0","0","5","4","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","18","3","0","6","1","0","5","0","0","",""
"長崎","0","0","0","0","0","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
