"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年6週
"集計期間終了週",2024年6週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5323","4152","9475","415"
"新型コロナウイルス感染症（COVID-19）","1845","2042","3887","415"
"RSウイルス感染症","10","10","20","262"
"咽頭結膜熱","49","44","93","262"
"Ａ群溶血性レンサ球菌咽頭炎","605","469","1074","262"
"感染性胃腸炎","1096","1017","2113","262"
"水痘","31","22","53","262"
"手足口病","11","10","21","262"
"伝染性紅斑","10","11","21","262"
"突発性発しん","19","24","43","262"
"ヘルパンギーナ","0","1","1","262"
"流行性耳下腺炎","6","7","13","262"
"不明発しん症","1","4","5","262"
"川崎病","2","1","3","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","7","16","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","25","9","34","25"
"COVID-19入院","92","69","161","25"
