"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年52週"
"集計期間終了週","2005年52週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","11","5","2","5","73","7","1","0","1","0","0","1","0","2","1","0","0","1","0","0","0","0","0","","","","","",""
"区南部","14","3","4","14","122","8","1","1","6","0","0","2","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","6","0","1","5","74","8","0","3","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","15","2","4","2","105","16","0","5","2","0","0","0","0","8","0","0","0","6","0","0","1","0","0","","","","","",""
"区西北部","14","0","2","3","102","12","0","2","1","0","0","3","0","6","0","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","11","0","3","12","64","16","1","1","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","37","0","8","12","64","7","0","0","1","0","0","0","0","4","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","1","0","1","1","33","6","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","29","0","0","6","58","6","0","0","1","0","0","0","0","3","0","0","0","0","0","0","1","0","0","","","","","",""
"北多摩西部","7","0","0","1","59","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","7","1","1","6","75","4","1","0","1","0","0","0","0","5","1","1","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","10","0","6","7","88","6","0","2","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","162","11","32","75","917","100","4","14","19","0","0","6","0","51","2","1","0","8","0","0","3","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年52週"
"集計期間終了週","2005年52週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","14","6","5","9","75","1","1","0","1","0","0","1","0","4","1","0","0","1","0","0","0","0","0","","","","","",""
"区南部","13","1","4","9","110","4","1","2","3","0","0","2","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","10","0","1","2","63","7","0","3","3","0","0","0","0","2","0","0","0","0","0","1","0","0","0","","","","","",""
"区西部","14","1","4","2","93","10","0","2","3","0","0","0","0","5","4","0","0","1","0","0","1","0","0","","","","","",""
"区西北部","14","1","2","4","107","7","0","2","3","0","0","3","0","3","1","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","14","0","2","8","59","10","1","2","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","35","1","6","15","61","3","0","1","3","0","0","0","0","6","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","3","1","1","4","28","8","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","27","1","0","9","78","8","0","0","3","0","0","0","0","1","1","0","0","0","0","0","1","0","0","","","","","",""
"北多摩西部","6","0","0","1","64","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","5","1","1","6","48","4","1","1","1","0","0","0","0","3","1","1","0","2","0","0","0","0","0","","","","","",""
"北多摩北部","4","0","3","8","90","12","0","1","1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","159","13","29","78","877","78","4","14","24","0","0","6","0","51","9","1","0","5","0","1","3","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年52週"
"集計期間終了週","2005年52週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
