"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2013年34週
"集計期間終了週",2013年34週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1","2","3","395"
"RSウイルス感染症","37","41","78","245"
"咽頭結膜熱","47","45","92","245"
"Ａ群溶血性レンサ球菌咽頭炎","69","77","146","245"
"感染性胃腸炎","315","301","616","245"
"水痘","75","52","127","245"
"手足口病","598","538","1136","245"
"伝染性紅斑","8","7","15","245"
"突発性発しん","67","74","141","245"
"百日咳","0","0","0","245"
"ヘルパンギーナ","152","159","311","245"
"流行性耳下腺炎","25","24","49","245"
"不明発しん症","15","11","26","245"
"川崎病","3","1","4","245"
"急性出血性結膜炎","1","0","1","38"
"流行性角結膜炎","9","10","19","38"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","4","7","11","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
