"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年18週
"集計期間終了週",2019年18週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","117","112","229","338"
"RSウイルス感染症","12","18","30","205"
"咽頭結膜熱","5","11","16","205"
"Ａ群溶血性レンサ球菌咽頭炎","96","67","163","205"
"感染性胃腸炎","268","202","470","205"
"水痘","17","9","26","205"
"手足口病","5","7","12","205"
"伝染性紅斑","16","10","26","205"
"突発性発しん","23","21","44","205"
"ヘルパンギーナ","1","0","1","205"
"流行性耳下腺炎","6","2","8","205"
"不明発しん症","3","3","6","205"
"川崎病","1","0","1","205"
"急性出血性結膜炎","0","0","0","29"
"流行性角結膜炎","3","3","6","29"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","4","3","7","25"
"インフルエンザ入院","1","1","2","25"
