"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年9週
"集計期間終了週",2019年9週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","722","712","1434","413"
"RSウイルス感染症","42","31","73","259"
"咽頭結膜熱","24","19","43","259"
"Ａ群溶血性レンサ球菌咽頭炎","347","303","650","259"
"感染性胃腸炎","973","882","1855","259"
"水痘","52","49","101","259"
"手足口病","9","8","17","259"
"伝染性紅斑","91","65","156","259"
"突発性発しん","59","44","103","259"
"ヘルパンギーナ","0","3","3","259"
"流行性耳下腺炎","7","5","12","259"
"不明発しん症","6","5","11","259"
"川崎病","0","3","3","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","4","5","9","38"
"細菌性髄膜炎","1","1","2","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","3","1","4","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"感染性胃腸炎（ロタウイルス）","2","4","6","24"
"インフルエンザ入院","11","10","21","24"
