"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2019年11月"
"集計期間終了月","2019年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","14","1","2","7","0","0","0","1","0","",""
"中央区","7","3","0","1","1","0","0","0","0","",""
"みなと","11","2","8","2","0","0","3","0","0","",""
"新宿区","25","12","49","14","0","0","5","0","0","",""
"文京","3","0","0","0","0","0","3","0","0","",""
"台東","1","0","2","0","0","0","0","0","0","",""
"墨田区","2","1","3","3","0","0","3","0","0","",""
"江東区","5","2","1","6","0","0","0","0","0","",""
"品川区","3","5","1","4","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","1","1","0","0","0","2","1","0","",""
"世田谷","0","0","0","0","0","0","1","2","0","",""
"渋谷区","15","14","4","5","0","0","0","0","0","",""
"中野区","3","0","0","5","0","0","0","0","0","",""
"杉並","5","0","0","0","0","0","4","0","0","",""
"池袋","13","6","2","10","0","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","2","0","1","1","0","0","2","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","3","3","0","",""
"江戸川","5","1","1","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","3","1","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","1","0","0","0","0","0","",""
"多摩府中","1","0","0","0","0","0","18","1","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","118","48","75","59","1","0","48","9","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2019年11月"
"集計期間終了月","2019年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","1","0","0","0","0","0","0","0","0","",""
"中央区","2","0","0","0","0","0","0","0","0","",""
"みなと","1","0","0","1","0","0","0","0","0","",""
"新宿区","16","9","25","4","0","0","8","2","0","",""
"文京","0","0","0","0","0","0","0","0","0","",""
"台東","5","4","1","11","0","0","0","0","0","",""
"墨田区","0","1","2","0","0","0","0","0","0","",""
"江東区","4","0","0","0","1","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","",""
"渋谷区","9","7","2","0","1","0","1","0","0","",""
"中野区","0","0","0","0","2","0","0","0","0","",""
"杉並","1","0","0","0","0","0","2","0","0","",""
"池袋","7","4","0","0","3","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","3","0","0","0","0","0","2","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","4","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","3","0","0","",""
"江戸川","9","1","1","0","2","0","0","0","0","",""
"八王子市","4","4","0","1","0","0","0","1","0","",""
"町田市","4","0","1","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","13","0","0","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","5","0","0","",""
"多摩小平","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","87","30","32","18","9","0","24","3","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2019年11月"
"集計期間終了月","2019年11月"
