"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2014年11週
"集計期間終了週",2014年11週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4361","4202","8563","416"
"RSウイルス感染症","18","19","37","261"
"咽頭結膜熱","26","23","49","261"
"Ａ群溶血性レンサ球菌咽頭炎","289","237","526","261"
"感染性胃腸炎","730","685","1415","261"
"水痘","95","87","182","261"
"手足口病","4","4","8","261"
"伝染性紅斑","37","35","72","261"
"突発性発しん","58","41","99","261"
"百日咳","0","0","0","261"
"ヘルパンギーナ","3","2","5","261"
"流行性耳下腺炎","8","20","28","261"
"不明発しん症","4","4","8","261"
"川崎病","4","1","5","261"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","7","5","12","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","4","2","6","25"
"インフルエンザ入院","17","14","31","25"
