"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年16週
"集計期間終了週",2024年16週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","263","241","504","418"
"新型コロナウイルス感染症（COVID-19）","546","613","1159","418"
"RSウイルス感染症","298","242","540","263"
"咽頭結膜熱","39","29","68","263"
"Ａ群溶血性レンサ球菌咽頭炎","495","437","932","263"
"感染性胃腸炎","626","557","1183","263"
"水痘","20","14","34","263"
"手足口病","10","12","22","263"
"伝染性紅斑","31","19","50","263"
"突発性発しん","46","44","90","263"
"ヘルパンギーナ","0","3","3","263"
"流行性耳下腺炎","8","10","18","263"
"不明発しん症","1","4","5","263"
"川崎病","1","1","2","263"
"急性出血性結膜炎","1","1","2","39"
"流行性角結膜炎","13","19","32","39"
"細菌性髄膜炎","0","2","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","7","2","9","25"
"COVID-19入院","49","27","76","25"
