"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年8月"
"集計期間終了月","2013年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","4","0","0"
"1～4歳","0","0","0","0","0","0","5","8","0","0"
"5～9歳","0","0","0","0","0","0","2","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","0","2","0","4","0","0","3","0","0","0"
"20～24歳","10","5","3","9","0","1","1","0","1","0"
"25～29歳","21","6","6","15","0","2","0","0","0","0"
"30～34歳","20","5","11","13","0","1","0","0","0","0"
"35～39歳","15","9","9","18","0","0","0","0","0","0"
"40～44歳","8","13","10","6","0","1","1","0","0","0"
"45～49歳","11","8","4","4","0","2","1","0","0","0"
"50～54歳","5","4","5","3","0","1","0","0","0","0"
"55～59歳","3","1","2","0","0","0","4","0","0","0"
"60～64歳","1","2","0","1","0","0","1","1","1","0"
"65～69歳","0","3","1","1","0","0","4","3","0","0"
"70歳以上","0","2","0","0","0","0","29","5","2","0"
"合計","94","60","51","74","0","8","64","22","4","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年8月"
"集計期間終了月","2013年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","6","0","0"
"1～4歳","0","0","0","0","0","0","3","6","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","9","1","1","3","0","0","0","0","0","0"
"20～24歳","26","5","4","7","2","0","1","0","0","0"
"25～29歳","18","7","5","5","3","0","0","0","0","0"
"30～34歳","10","10","3","2","1","0","0","0","0","0"
"35～39歳","4","3","1","0","0","0","1","0","0","0"
"40～44歳","2","4","1","0","1","0","1","0","0","0"
"45～49歳","0","0","0","0","1","0","2","0","0","0"
"50～54歳","1","2","1","2","0","0","1","1","0","0"
"55～59歳","1","0","0","0","0","0","2","0","0","0"
"60～64歳","0","1","0","0","0","0","1","1","0","0"
"65～69歳","0","0","0","0","0","0","3","2","0","0"
"70歳以上","0","1","0","0","1","0","19","2","0","0"
"合計","71","34","16","19","9","0","40","18","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年8月"
"集計期間終了月","2013年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","16","10","0","0"
"1～4歳","0","0","0","0","0","0","8","14","0","0"
"5～9歳","0","0","0","0","0","0","4","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","9","3","1","7","0","0","3","0","0","0"
"20～24歳","36","10","7","16","2","1","2","0","1","0"
"25～29歳","39","13","11","20","3","2","0","0","0","0"
"30～34歳","30","15","14","15","1","1","0","0","0","0"
"35～39歳","19","12","10","18","0","0","1","0","0","0"
"40～44歳","10","17","11","6","1","1","2","0","0","0"
"45～49歳","11","8","4","4","1","2","3","0","0","0"
"50～54歳","6","6","6","5","0","1","1","1","0","0"
"55～59歳","4","1","2","0","0","0","6","0","0","0"
"60～64歳","1","3","0","1","0","0","2","2","1","0"
"65～69歳","0","3","1","1","0","0","7","5","0","0"
"70歳以上","0","3","0","0","1","0","48","7","2","0"
"合計","165","94","67","93","9","8","104","40","4","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


