"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年21週
"集計期間終了週",2011年21週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","57","37","94","412"
"RSウイルス感染症","11","6","17","261"
"咽頭結膜熱","63","63","126","261"
"Ａ群溶血性レンサ球菌咽頭炎","488","380","868","261"
"感染性胃腸炎","937","803","1740","261"
"水痘","235","217","452","261"
"手足口病","23","18","41","261"
"伝染性紅斑","70","94","164","261"
"突発性発しん","89","99","188","261"
"百日咳","3","5","8","261"
"ヘルパンギーナ","15","17","32","261"
"流行性耳下腺炎","41","37","78","261"
"不明発しん症","12","17","29","261"
"川崎病","3","2","5","261"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","11","9","20","37"
"細菌性髄膜炎","1","0","1","23"
"無菌性髄膜炎","0","0","0","23"
"マイコプラズマ肺炎","5","4","9","23"
"クラミジア肺炎(オウム病は除く)","0","1","1","23"
"インフルエンザ入院","0","0","0","25"
