"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2004年22週
"集計期間終了週",2004年22週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","5","3","8","142"
"咽頭結膜熱","29","24","53","142"
"Ａ群溶血性レンサ球菌咽頭炎","108","97","205","142"
"感染性胃腸炎","323","259","582","142"
"水痘","96","66","162","142"
"手足口病","2","6","8","142"
"伝染性紅斑","73","64","137","142"
"突発性発しん","58","43","101","142"
"百日咳","0","0","0","142"
"風しん","2","6","8","142"
"ヘルパンギーナ","37","47","84","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","23","25","48","142"
"不明発しん症","15","4","19","142"
"川崎病","2","2","4","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","4","8","12","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
