"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2004年10月"
"集計期間終了月","2004年10月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","12","6","5","0","1","15","5","0","",""
"区南部","4","3","2","8","0","0","9","0","0","",""
"区西南部","7","2","0","1","0","0","8","2","0","",""
"区西部","30","7","4","13","0","0","36","7","0","",""
"区西北部","20","9","13","13","0","1","2","0","0","",""
"区東北部","1","0","0","4","0","0","4","0","0","",""
"区東部","16","6","2","16","0","0","4","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","4","1","1","",""
"北多摩西部","3","4","1","11","0","0","0","0","0","",""
"北多摩南部","1","0","1","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","16","7","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","97","43","29","71","0","2","98","25","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2004年10月"
"集計期間終了月","2004年10月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","30","26","6","3","22","0","7","3","0","",""
"区南部","1","0","0","0","0","0","0","0","0","",""
"区西南部","0","0","0","0","0","0","3","0","0","",""
"区西部","21","10","3","6","0","0","11","7","1","",""
"区西北部","7","2","2","2","4","0","1","1","0","",""
"区東北部","0","0","0","0","0","0","3","0","0","",""
"区東部","9","3","0","0","0","0","0","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","14","6","0","2","7","0","0","0","1","",""
"北多摩西部","4","0","0","6","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","4","3","0","",""
"島しょ","0","0","0","0","0","0","0","2","0","",""
"合計","86","47","11","19","33","0","29","17","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2004年10月"
"集計期間終了月","2004年10月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","45","38","12","8","22","1","22","8","0","10","6"
"区南部","5","3","2","8","0","0","9","0","0","5","1"
"区西南部","7","2","0","1","0","0","11","2","0","3","4"
"区西部","51","17","7","19","0","0","47","14","1","6","4"
"区西北部","27","11","15","15","4","1","3","1","0","6","2"
"区東北部","1","0","0","4","0","0","7","0","0","2","1"
"区東部","25","9","2","16","0","0","4","4","0","7","2"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","14","6","0","2","7","0","4","1","2","4","1"
"北多摩西部","7","4","1","17","0","0","0","0","0","2","1"
"北多摩南部","1","0","1","0","0","0","0","0","0","2","3"
"北多摩北部","0","0","0","0","0","0","20","10","0","0","3"
"島しょ","0","0","0","0","0","0","0","2","0","0","1"
"合計","183","90","40","90","33","2","127","42","3","41","25"


