"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年26週
"集計期間終了週",2017年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","8","9","17","415"
"RSウイルス感染症","41","35","76","262"
"咽頭結膜熱","147","141","288","262"
"Ａ群溶血性レンサ球菌咽頭炎","445","381","826","262"
"感染性胃腸炎","890","743","1633","262"
"水痘","81","51","132","262"
"手足口病","324","296","620","262"
"伝染性紅斑","17","12","29","262"
"突発性発しん","89","87","176","262"
"百日咳","0","0","0","262"
"ヘルパンギーナ","76","55","131","262"
"流行性耳下腺炎","38","44","82","262"
"不明発しん症","17","23","40","262"
"川崎病","2","2","4","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","21","10","31","39"
"細菌性髄膜炎","3","0","3","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
